Place,Dish Name,Estimated_Price_INR,Calories (kcal),Protein (g),Carbohydrates (g),Fats (g)
Generic/Average Restaurant,Bottle gourd raita (Ghiya/Lauki ka raita),40,56.31,3.98,5.76,2.07
Generic/Average Restaurant,Cucumber raita (Kheere ka raita),40,59.13,4.04,6.35,2.08
Generic/Average Restaurant,Carrot and spinach raita (Gajar aur palak ka raita),40,56.83,4.0,5.83,1.99
Generic/Average Restaurant,Mint raita (Pudinay ka raita),40,77.59,5.64,7.65,2.96
Generic/Average Restaurant,Potato raita (Aloo ka raita),40,75.38,4.22,10.24,2.04
Generic/Average Restaurant,Boondi raita,40,687.72,2.19,3.96,73.83
Generic/Average Restaurant,Sweet raita (Meetha raita),40,99.24,3.24,17.93,1.78
Generic/Average Restaurant,Dahi vadas/Dahi bhalla,50,667.73,2.96,5.49,70.4
Generic/Average Restaurant,Gunjia,120,667.34,2.98,5.68,70.28
Generic/Average Restaurant,Saunth/Sonth chutney with tamarind/imli,40,141.53,1.01,33.55,0.15
Generic/Average Restaurant,Rice kheer (Chawal ki kheer),150,75.03,2.3,10.05,2.97
Generic/Average Restaurant,Makhana kheer,80,107.85,3.31,12.88,5.0
Generic/Average Restaurant,Vermicelli kheer (Semiya/Seviyan ki kheer),80,120.07,3.35,15.87,5.0
Generic/Average Restaurant,Semolina kheer (Suji/Rava kheer),80,113.21,3.43,15.88,4.2
Generic/Average Restaurant,Paneer kheer,180,105.31,4.53,10.03,5.37
Generic/Average Restaurant,Cabbage kheer (Pattagobhi ki kheer),80,83.51,2.87,9.73,3.8
Generic/Average Restaurant,Carrot kheer (Gajar ki kheer),80,85.35,2.81,10.09,3.85
Generic/Average Restaurant,Cauliflower kheer (Phoolgobhi ki kheer),80,81.95,3.04,8.78,3.95
Generic/Average Restaurant,Moong dal kheer,180,77.16,2.95,9.89,2.97
Generic/Average Restaurant,Phirni,120,116.12,3.49,16.11,4.34
Generic/Average Restaurant,Semolina halwa (Suji ka halwa),80,225.65,2.16,24.67,13.38
Generic/Average Restaurant,Shahi suji halwa,80,382.34,3.48,44.44,21.73
Generic/Average Restaurant,Carrot halwa (Gajar ka halwa),80,172.64,3.11,18.53,9.73
Generic/Average Restaurant,Egg halwa (Ande ka halwa),300,299.74,7.85,39.59,13.41
Generic/Average Restaurant,Potato halwa (Aloo ka halwa),180,151.66,1.53,29.18,3.48
Generic/Average Restaurant,Pumpkin halwa (Kaddu ka halwa),80,190.27,1.33,27.6,8.81
Generic/Average Restaurant,Moong dal halwa,180,349.8,8.35,40.23,17.68
Generic/Average Restaurant,Caramel custard (steamed),30,121.58,4.97,15.02,4.87
Generic/Average Restaurant,Baked custard,120,106.53,5.41,9.45,5.3
Generic/Average Restaurant,Soft Custard (stirred),120,109.18,5.01,11.19,5.07
Generic/Average Restaurant,Chocolate ice cream,80,177.7,4.47,15.41,11.25
Generic/Average Restaurant,Mango ice cream,80,125.69,3.4,11.14,7.62
Generic/Average Restaurant,Fruit Ice cream (Phalon ka Ice cream),80,171.46,4.37,16.05,10.38
Generic/Average Restaurant,Caramel ice cream,80,173.52,4.31,14.81,11.15
Generic/Average Restaurant,Lemon souffle,120,168.51,6.95,13.43,10.02
Generic/Average Restaurant,Orange souffle,120,168.28,6.8,14.2,9.73
Generic/Average Restaurant,Vanilla souffle,120,187.85,7.71,14.78,11.19
Generic/Average Restaurant,Chocolate souffle,120,189.32,7.88,14.74,11.36
Generic/Average Restaurant,Pineapple souffle ,120,196.14,8.06,15.52,11.72
Generic/Average Restaurant,Apple mousse,120,106.92,4.21,12.77,4.27
Generic/Average Restaurant,Rich chocolate mousse,120,188.26,7.96,10.84,12.19
